line_number,sonnet_line
2106,My soul doth tell my body that he may
2107,"Triumph in love; flesh stays no farther reason,"
2108,"But rising at thy name doth point out thee,"
2109,"As his triumphant prize. Proud of this pride,"
2110,"He is contented thy poor drudge to be,"
2111,"To stand in thy affairs, fall by thy side."
2112,No want of conscience hold it that I call
2113,"Her ‘love,’ for whose dear love I rise and fall."
2114,"In loving thee thou know’st I am forsworn,"
2115,"But thou art twice forsworn, to me love swearing;"
2116,"In act thy bed-vow broke, and new faith torn,"
2117,In vowing new hate after new love bearing:
2118,"But why of two oaths’ breach do I accuse thee,"
2119,When I break twenty? I am perjur’d most;
2120,"For all my vows are oaths but to misuse thee,"
2121,And all my honest faith in thee is lost:
2122,"For I have sworn deep oaths of thy deep kindness,"
2123,"Oaths of thy love, thy truth, thy constancy;"
2124,"And, to enlighten thee, gave eyes to blindness,"
2125,Or made them swear against the thing they see;
2126,"For I have sworn thee fair; more perjured I,"
2127,To swear against the truth so foul a lie.
2128,Cupid laid by his brand and fell asleep:
2129,"A maid of Dian’s this advantage found,"
2130,And his love-kindling fire did quickly steep
2131,In a cold valley-fountain of that ground;
2132,"Which borrow’d from this holy fire of Love,"
2133,"A dateless lively heat, still to endure,"
2134,"And grew a seething bath, which yet men prove"
2135,Against strange maladies a sovereign cure.
2136,"But at my mistress’ eye Love’s brand new-fired,"
2137,The boy for trial needs would touch my breast;
2138,"I, sick withal, the help of bath desired,"
2139,"And thither hied, a sad distemper’d guest,"
2140,"But found no cure, the bath for my help lies"
2141,Where Cupid got new fire; my mistress’ eyes.
2142,"The little Love-god lying once asleep,"
2143,"Laid by his side his heart-inflaming brand,"
2144,Whilst many nymphs that vow’d chaste life to keep
2145,Came tripping by; but in her maiden hand
2146,The fairest votary took up that fire
2147,Which many legions of true hearts had warm’d;
2148,And so the general of hot desire
2149,"Was, sleeping, by a virgin hand disarm’d."
2150,"This brand she quenched in a cool well by,"
2151,"Which from Love’s fire took heat perpetual,"
2152,"Growing a bath and healthful remedy,"
2153,"For men diseased; but I, my mistress’ thrall,"
2154,"Came there for cure and this by that I prove,"
2155,"Love’s fire heats water, water cools not love."
